Q_id,ref_id,model_name,manufacturer,location,W_count,Q_count,Total_count
8.41,QS65/5,Pectoral Girdle with Brachial Plexus,SOMSO,Cupboard 42,3,0,3
8.42,QS66/2,Pelvic Girdle with Lumbar Plexus,SOMSO,Cupboard 43,3,0,3
8.43,BS26/1,Nervous System Slab with Digestive Innervation,SOMSO,Cupboard 34,2,0,2
8.44,BS27,Nervous System Slab with Limb Innervation,SOMSO,Cupboard 34,3,0,3
8.51,BS30,Fifth Cervical Vertebra,SOMSO,Cupboard 30,8,5,13
8.52,BS32/37,"Spinal Cord (2 models as 1 piece, on green board, with removable clear box cover)",SOMSO,Cupboard 30,3,0,3
8.53,QS54,6x Example Vertebrae in Case,SOMSO,Cupboard 30,1,0,1
8.54,0165-00,Deluxe Spinal Cord - Enlarged 6x,Denoyer Geppert,Q704,0,1,1
8.55,BS33(part1),Model 1: Spinal cord with nerves on stand (same as 8.52),SOMSO,Cupboard 30,1,1,2
8.56,BS33(part2),Model 2: Section through spinal cord on stand (same as 8.52),SOMSO,Cupboard 30,2,0,2
8.61,NA,Neuron - Old,NA,Q704,0,1,1
8.62,BS35/1,"Neuron (1 part, green board)",SOMSO,Cupboard 31,6,4,10
8.63,BS35/3,Synapse,SOMSO,Cupboard 30,7,5,12
8.64,0167-00,Motor Neuron Diorama,Denoyer Geppert,Cupboard 31,2,2,4
8.71,BS28,Lumbar Vertebra (L II) with Spinal Cord,SOMSO,Cupboard 30,1,0,1
8.72,BS28/1,Thoracic Vertebra (TH II) with Spinal Cord,SOMSO,Cupboard 30,1,0,1
8.73,BS29,Cervical Vertebra (C VI) with Spinal Cord,SOMSO,Cupboard 30,1,0,1
8.81,BS35,Large Neuron on Clear Base,SOMSO,Cupboard 30,1,0,1
9.03,CS7,Eyeball ( 5 parts),SOMSO,Cupboard 36,2,0,2
9.04,CS2/2,Eye with Eyelid,SOMSO,Cupboard 35,10,3,13
9.05,CS8/1,Large Eye,SOMSO,Cupboard 37,1,0,1
9.06,CS2,Eye without Eyelid,SOMSO,Cupboard 35,2,0,2
9.11,DS5,Ear,SOMSO,Cupboard 38,10,3,13
9.14,DS13,Ear Labyrinth (only has root of nerve network),SOMSO,Cupboard 39,3,1,4
9.15,DS14,Ear Labyrinth with network of nerves,SOMSO,Cupboard 39,2,0,2
9.17,DS10,Section Through the Central Spiral of the Cochlea - Slab,SOMSO,Q704,0,1,1
9.18,DS18,Ear Ossicles on stand,SOMSO,Cupboard 39,2,1,3
9.19,DS17,Labyrinth with Ossicles and Tympanic Membrane (3 parts),SOMSO,Cupboard 39,4,1,5
11.01,(FromAS6),Interchangeable sex organs - Male ,SOMSO,Cupboard 45,2,1,3
11.02,(FromAS6),Interchangeable sex organs - Female,SOMSO,Cupboard 45,2,1,3
11.03,(FromAS7/AS4),"Chest Piece (Female) 2x from AS 7 Torso, 1x from AS 4 Torso",SOMSO,Cupboard 44,3,1,4
11.04,(FromAS7),Chest Piece (Male),SOMSO,Cupboard 44,2,1,3
11.05,(FromAS7),Abdominal Muscles,SOMSO,Cupboard 44,2,0,2
11.11,MS2,Male Pelvic Reproductive Slab,SOMSO,Cupboard 46,10,4,14
11.12,MS1,Female Pelvic Reproductive Slab,SOMSO,Cupboard 47,10,4,14
11.13,MS42,Internal Female Genital Organs (2 parts) - Showing an Embryo in the 10th week,SOMSO,W306,1,0,1
11.15,MS3/2,Transparent Model of Male Sexual Organs,SOMSO,Cupboard 40,2,0,2
11.16,MS5/2,Transparent Model of Female Sexual Organs,SOMSO,Cupboard 41,2,0,2
11.20,MS15,Fertilization and Development of the Human Ovum up to the 3rd Month (Display Box of the 16 Models),SOMSO,Compactus,1,0,1
11.21,MS47,Fertilization and Development of the Human Ovum up to the 3rd Month (Individual Set of the 16 Models [A-P]),SOMSO,Compactus,1,0,1
11.22,MS11,Embryo (approximately 4 weeks) - Enlarged 25x,SOMSO,Compactus,2,0,2
11.23,MS46,Human Development of the Embryo up to the end of the 1st Month (Set of 13 models [A-M]),SOMSO,Compactus,2,0,2
11.25,MS21,Obstetric Phantom,SOMSO,W306,1,0,1
11.31,MS12/1,Uterus with Embryo in 1st Month,SOMSO,Compactus,1,0,1
11.32,MS12/2,Uterus with Embryo in 2nd Month,SOMSO,Compactus,1,0,1
11.33,MS12/3,Uterus with Embryo in 3rd Month,SOMSO,Compactus,1,0,1
11.34,MS12/4,Uterus with Foetus in 4th - 5th Month (2 parts) - Abdominal Position,SOMSO,Compactus,1,0,1
11.35,MS12/5,Uterus with Foetus in 5th Month (2 parts) - Breech Position,SOMSO,Compactus,1,0,1
11.36,MS12/6,Uterus with Foetus in 5th Month (2 parts) - Dorsal Position,SOMSO,Compactus,1,0,1
11.37,MS12/7,Uterus with Foetus in 7th month (2 parts) - Normal Position,SOMSO,Compactus,1,0,1
11.38,MS12/8,Uterus with Twin Foetuses in 5th Month (3 parts),SOMSO,Compactus,1,0,1
11.39,MS13/1,Pelvis with Uterus and Foetus in 9th month of Pregnancy (4 parts),SOMSO,W306,1,0,1
11.41,MS50,Ovary Enlarged 10x,SOMSO,Cupboard 48 & 49,4,2,6
11.43,MS08/1,Female Pelvis with Muscles on Clear Base,SOMSO,Cupboard 45,2,0,2
11.50,MS4/1,Fertilisation Slab,SOMSO,W306,2,1,3
11.61,MS45/1,Birth Process - First Stage,SOMSO,W306,1,0,1
11.62,MS45/2,Birth Process - Second Stage,SOMSO,W306,1,0,1
11.63,MS45/3,Birth Process - Third Stage,SOMSO,W306,1,0,1
11.71,MS48/3-1,"Anatomy of Human Embryos (approximately 3 weeks) - Enlarged 53x, Open side",SOMSO,Compactus,1,0,1
11.72,MS48/3-2,"Anatomy of Human Embryos (approximately 3 weeks) - Enlarged 53x, Open front",SOMSO,Compactus,1,0,1
11.73,MS48/3-3,"Anatomy of Human Embryos (approximately 3 weeks) - Enlarged 53x, Open back",SOMSO,Compactus,1,0,1
11.74,MS48/3-4,"Anatomy of Human Embryos (approximately 3 weeks) - Enlarged 53x, Displays internal organs ",SOMSO,Compactus,1,0,1
11.75,MS48/3-5,"Anatomy of Human Embryos (approximately 4 weeks) - Enlarged 50x, Open side ",SOMSO,Compactus,1,0,1
11.76,MS48/3-6,"Anatomy of Human Embryos (approximately 4 weeks) - Enlarged 50x, Open Thoracic & Adbominal cavity",SOMSO,Compactus,1,0,1
11.77,MS48/3-7,"Anatomy of Human Embryos (end of 4 weeks) - Enlarged 30x, Open laterally ",SOMSO,Compactus,1,0,1
11.78,MS48/3-8,"Anatomy of Human Embryos (end of 4 weeks) - Enlarged 30x, Open laterally with vascular details",SOMSO,Compactus,1,0,1
11.81,MS49(1/8),Brain of Human Embryo (approximately 4 weeks),SOMSO,Compactus,1,0,1
11.82,MS49(2/8),Brain of Human Embryo (approximately 4.5 weeks),SOMSO,Compactus,1,0,1
